2023-10-05 13:50:10,231  =================== rf_02 start training ===================
2023-10-05 13:50:12,643  gridsearching...
2023-10-05 14:07:22,809  model: rf_02, best_params: {'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 30}
2023-10-05 14:07:22,809  0.154 (+/-0.030) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 3}
2023-10-05 14:07:22,809  0.245 (+/-0.082) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 8}
2023-10-05 14:07:22,810  0.326 (+/-0.084) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 12}
2023-10-05 14:07:22,810  0.342 (+/-0.064) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 16}
2023-10-05 14:07:22,810  0.411 (+/-0.074) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 20}
2023-10-05 14:07:22,810  0.506 (+/-0.017) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 30}
2023-10-05 14:07:22,810  0.154 (+/-0.038) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 3}
2023-10-05 14:07:22,810  0.251 (+/-0.048) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 8}
2023-10-05 14:07:22,810  0.332 (+/-0.050) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 12}
2023-10-05 14:07:22,810  0.370 (+/-0.044) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 16}
2023-10-05 14:07:22,810  0.423 (+/-0.070) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 20}
2023-10-05 14:07:22,810  0.500 (+/-0.073) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 30}
2023-10-05 14:07:22,810  0.167 (+/-0.028) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 3}
2023-10-05 14:07:22,810  0.263 (+/-0.058) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 8}
2023-10-05 14:07:22,810  0.335 (+/-0.065) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 12}
2023-10-05 14:07:22,810  0.372 (+/-0.096) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 16}
2023-10-05 14:07:22,810  0.399 (+/-0.056) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 20}
2023-10-05 14:07:22,810  0.480 (+/-0.072) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 30}
2023-10-05 14:07:22,810  0.166 (+/-0.058) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 3}
2023-10-05 14:07:22,810  0.272 (+/-0.034) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 8}
2023-10-05 14:07:22,810  0.310 (+/-0.112) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 12}
2023-10-05 14:07:22,810  0.369 (+/-0.036) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 16}
2023-10-05 14:07:22,810  0.407 (+/-0.110) for {'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 20}
