2023-10-05 14:31:45,783  =================== rf_04 start training ===================
2023-10-05 14:31:48,234  gridsearching...
2023-10-05 18:10:10,190  model: rf_04, best_params: {'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-05 18:10:10,190  0.165 (+/-0.040) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 3}
2023-10-05 18:10:10,190  0.593 (+/-0.051) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}
2023-10-05 18:10:10,190  0.714 (+/-0.039) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-05 18:10:10,190  0.786 (+/-0.039) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-05 18:10:10,190  0.144 (+/-0.021) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 3}
2023-10-05 18:10:10,190  0.595 (+/-0.020) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-05 18:10:10,190  0.715 (+/-0.033) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-05 18:10:10,190  0.779 (+/-0.033) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-05 18:10:10,190  0.176 (+/-0.062) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 3}
2023-10-05 18:10:10,190  0.622 (+/-0.103) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 50}
2023-10-05 18:10:10,190  0.720 (+/-0.018) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100}
2023-10-05 18:10:10,190  0.777 (+/-0.024) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 150}
2023-10-05 18:10:10,190  0.174 (+/-0.036) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 3}
2023-10-05 18:10:10,190  0.599 (+/-0.062) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 50}
2023-10-05 18:10:10,190  0.728 (+/-0.049) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 100}
2023-10-05 18:10:10,190  0.761 (+/-0.029) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 150}
2023-10-05 18:10:10,190  0.201 (+/-0.066) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 24, 'n_estimators': 3}
2023-10-05 18:10:10,190  0.600 (+/-0.052) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 24, 'n_estimators': 50}
2023-10-05 18:10:10,190  0.702 (+/-0.049) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 24, 'n_estimators': 100}
2023-10-05 18:10:10,190  0.780 (+/-0.029) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 24, 'n_estimators': 150}
2023-10-05 18:10:10,190  0.185 (+/-0.032) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 3}
2023-10-05 18:10:10,190  0.602 (+/-0.055) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 50}
2023-10-05 18:10:10,190  0.725 (+/-0.017) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-05 18:10:10,190  0.769 (+/-0.017) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-05 18:10:10,190  0.152 (+/-0.026) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 3}
2023-10-05 18:10:10,190  0.625 (+/-0.073) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-05 18:10:10,190  0.719 (+/-0.032) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-05 18:10:10,190  0.775 (+/-0.042) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-05 18:10:10,190  0.202 (+/-0.063) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 3}
2023-10-05 18:10:10,190  0.582 (+/-0.059) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 50}
2023-10-05 18:10:10,190  0.716 (+/-0.038) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 100}
2023-10-05 18:10:10,190  0.775 (+/-0.016) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 150}
