2023-10-09 22:20:56,427  =================== rf_bert01 start training ===================
2023-10-09 22:27:53,223  gridsearching...
2023-10-09 23:46:38,480  model: rf_bert01, best_params: {'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-09 23:46:38,481  0.678 (+/-0.021) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}
2023-10-09 23:46:38,481  0.700 (+/-0.021) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-09 23:46:38,481  0.718 (+/-0.027) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-09 23:46:38,481  0.685 (+/-0.039) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-09 23:46:38,488  0.698 (+/-0.028) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-09 23:46:38,488  0.709 (+/-0.023) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-09 23:46:38,488  0.678 (+/-0.017) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 50}
2023-10-09 23:46:38,488  0.702 (+/-0.036) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100}
2023-10-09 23:46:38,488  0.714 (+/-0.025) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 150}
2023-10-09 23:46:38,490  0.684 (+/-0.025) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 50}
2023-10-09 23:46:38,490  0.700 (+/-0.036) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 100}
2023-10-09 23:46:38,490  0.716 (+/-0.022) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 150}
2023-10-09 23:46:38,490  0.677 (+/-0.039) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 24, 'n_estimators': 50}
2023-10-09 23:46:38,490  0.690 (+/-0.036) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 24, 'n_estimators': 100}
2023-10-09 23:46:38,490  0.699 (+/-0.022) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 24, 'n_estimators': 150}
2023-10-09 23:46:38,490  0.677 (+/-0.025) for {'max_depth': 12, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 50}
2023-10-09 23:46:38,490  0.706 (+/-0.020) for {'max_depth': 12, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-09 23:46:38,490  0.713 (+/-0.014) for {'max_depth': 12, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-09 23:46:38,490  0.681 (+/-0.032) for {'max_depth': 12, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-09 23:46:38,491  0.707 (+/-0.025) for {'max_depth': 12, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-09 23:46:38,491  0.717 (+/-0.029) for {'max_depth': 12, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-09 23:46:38,491  0.680 (+/-0.013) for {'max_depth': 12, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 50}
