2023-10-08 14:19:12,910  =================== rf_cbow01 start training ===================
2023-10-08 14:19:25,363  gridsearching...
2023-10-08 14:45:19,463  model: rf_cbow01, best_params: {'max_depth': 30, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 150}
2023-10-08 14:45:19,464  0.298 (+/-0.025) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}
2023-10-08 14:45:19,464  0.314 (+/-0.015) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-08 14:45:19,464  0.318 (+/-0.005) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-08 14:45:19,464  0.301 (+/-0.021) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-08 14:45:19,464  0.312 (+/-0.021) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-08 14:45:19,464  0.315 (+/-0.024) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-08 14:45:19,464  0.300 (+/-0.015) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 50}
2023-10-08 14:45:19,464  0.316 (+/-0.020) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100}
2023-10-08 14:45:19,464  0.323 (+/-0.031) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 150}
2023-10-08 14:45:19,464  0.302 (+/-0.036) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 50}
2023-10-08 14:45:19,464  0.316 (+/-0.022) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 100}
2023-10-08 14:45:19,464  0.325 (+/-0.025) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 150}
2023-10-08 14:45:19,464  0.302 (+/-0.023) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 24, 'n_estimators': 50}
2023-10-08 14:45:19,465  0.316 (+/-0.016) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 24, 'n_estimators': 100}
2023-10-08 14:45:19,465  0.316 (+/-0.025) for {'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 24, 'n_estimators': 150}
2023-10-08 14:45:19,465  0.301 (+/-0.018) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 50}
2023-10-08 14:45:19,465  0.322 (+/-0.028) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-08 14:45:19,465  0.314 (+/-0.020) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-08 14:45:19,465  0.306 (+/-0.013) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-08 14:45:19,465  0.312 (+/-0.015) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-08 14:45:19,465  0.319 (+/-0.021) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-08 14:45:19,465  0.301 (+/-0.028) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 50}
2023-10-08 14:45:19,465  0.321 (+/-0.012) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 100}
2023-10-08 14:45:19,465  0.318 (+/-0.019) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 150}
2023-10-08 14:45:19,465  0.301 (+/-0.029) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 50}
2023-10-08 14:45:19,465  0.312 (+/-0.019) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 100}
2023-10-08 14:45:19,466  0.317 (+/-0.019) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 150}
2023-10-08 14:45:19,466  0.303 (+/-0.026) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 24, 'n_estimators': 50}
2023-10-08 14:45:19,466  0.315 (+/-0.020) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 24, 'n_estimators': 100}
2023-10-08 14:45:19,466  0.318 (+/-0.018) for {'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 24, 'n_estimators': 150}
2023-10-08 14:45:19,466  0.303 (+/-0.020) for {'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 50}
2023-10-08 14:45:19,466  0.306 (+/-0.026) for {'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-08 14:45:19,466  0.318 (+/-0.012) for {'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-08 14:45:19,466  0.304 (+/-0.030) for {'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-08 14:45:19,466  0.316 (+/-0.026) for {'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-08 14:45:19,466  0.312 (+/-0.013) for {'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-08 14:45:19,466  0.300 (+/-0.016) for {'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 6, 'n_estimators': 50}
2023-10-08 14:45:19,466  0.315 (+/-0.024) for {'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 6, 'n_estimators': 100}
2023-10-08 14:45:19,466  0.317 (+/-0.021) for {'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 6, 'n_estimators': 150}
2023-10-08 14:45:19,466  0.305 (+/-0.032) for {'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 12, 'n_estimators': 50}
2023-10-08 14:45:19,466  0.321 (+/-0.022) for {'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 12, 'n_estimators': 100}
2023-10-08 14:45:19,467  0.321 (+/-0.028) for {'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 12, 'n_estimators': 150}
2023-10-08 14:45:19,467  0.306 (+/-0.025) for {'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 24, 'n_estimators': 50}
2023-10-08 14:45:19,467  0.319 (+/-0.019) for {'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 24, 'n_estimators': 100}
2023-10-08 14:45:19,467  0.317 (+/-0.027) for {'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 24, 'n_estimators': 150}
2023-10-08 14:45:19,467  0.303 (+/-0.013) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 50}
2023-10-08 14:45:19,467  0.313 (+/-0.029) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-08 14:45:19,467  0.318 (+/-0.014) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-08 14:45:19,467  0.299 (+/-0.017) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-08 14:45:19,467  0.318 (+/-0.016) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-08 14:45:19,467  0.313 (+/-0.020) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-08 14:45:19,467  0.304 (+/-0.025) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 6, 'n_estimators': 50}
2023-10-08 14:45:19,467  0.310 (+/-0.019) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 6, 'n_estimators': 100}
2023-10-08 14:45:19,467  0.322 (+/-0.017) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 6, 'n_estimators': 150}
2023-10-08 14:45:19,467  0.298 (+/-0.028) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 12, 'n_estimators': 50}
2023-10-08 14:45:19,467  0.322 (+/-0.021) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 12, 'n_estimators': 100}
2023-10-08 14:45:19,468  0.318 (+/-0.026) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 12, 'n_estimators': 150}
2023-10-08 14:45:19,468  0.310 (+/-0.018) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 24, 'n_estimators': 50}
2023-10-08 14:45:19,468  0.311 (+/-0.021) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 24, 'n_estimators': 100}
2023-10-08 14:45:19,468  0.317 (+/-0.023) for {'max_depth': 3, 'min_samples_leaf': 16, 'min_samples_split': 24, 'n_estimators': 150}
2023-10-08 14:45:19,468  0.299 (+/-0.032) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 2, 'n_estimators': 50}
2023-10-08 14:45:19,468  0.311 (+/-0.024) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-08 14:45:19,468  0.316 (+/-0.017) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-08 14:45:19,468  0.302 (+/-0.013) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-08 14:45:19,468  0.314 (+/-0.017) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-08 14:45:19,468  0.316 (+/-0.012) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-08 14:45:19,468  0.303 (+/-0.026) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 6, 'n_estimators': 50}
2023-10-08 14:45:19,468  0.315 (+/-0.018) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 6, 'n_estimators': 100}
2023-10-08 14:45:19,468  0.320 (+/-0.014) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 6, 'n_estimators': 150}
2023-10-08 14:45:19,468  0.308 (+/-0.031) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 12, 'n_estimators': 50}
2023-10-08 14:45:19,469  0.306 (+/-0.021) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 12, 'n_estimators': 100}
2023-10-08 14:45:19,469  0.316 (+/-0.023) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 12, 'n_estimators': 150}
2023-10-08 14:45:19,469  0.307 (+/-0.023) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 24, 'n_estimators': 50}
2023-10-08 14:45:19,469  0.318 (+/-0.033) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 24, 'n_estimators': 100}
2023-10-08 14:45:19,469  0.313 (+/-0.028) for {'max_depth': 3, 'min_samples_leaf': 22, 'min_samples_split': 24, 'n_estimators': 150}
2023-10-08 14:45:19,469  0.382 (+/-0.020) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}
2023-10-08 14:45:19,469  0.424 (+/-0.009) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-08 14:45:19,469  0.440 (+/-0.005) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-08 14:45:19,469  0.382 (+/-0.019) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-08 14:45:19,469  0.423 (+/-0.004) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-08 14:45:19,469  0.439 (+/-0.008) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-08 14:45:19,469  0.389 (+/-0.024) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 50}
2023-10-08 14:45:19,469  0.428 (+/-0.011) for {'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100}
